source,author,title,description,url,urlToImage,publishedAt,content
,,,,,,,
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Sarah Perez,"Google launches CallJoy, a virtual customer service phone agent for small businesses","Google is combining several technologies including virtual phone numbers, audio transcriptions, automated reporting and analytics, in a new effort to help small business owners better manage their inbound phone calls. The company’s latest project from its in-…",http://techcrunch.com/2019/05/01/google-launches-calljoy-a-virtual-customer-service-phone-agent-for-small-businesses/,https://techcrunch.com/wp-content/uploads/2019/05/Screen-Shot-2019-05-01-at-12.11.50-PM.png?w=764,2019-05-01T16:25:00Z,"Google is combining several technologies including virtual phone numbers, audio transcriptions, automated reporting and analytics, in a new effort to help small business owners better manage their inbound phone calls. The company’s latest project from its in-… [+3626 chars]"
,,,,,,,
"{'id': None, 'name': 'Gizmodo.com'}",Catie Keck,Facebook Sues South Korean Analytics Company to Send a 'Message' That It Means Business Now,Facebook has filed a lawsuit against South Korean data analytics company Rankwave over a breach of contract after the company allegedly failed to prove that it was complying with Facebook’s data policies. Read more...,https://gizmodo.com/facebook-sues-south-korean-analytics-company-to-send-a-1834687703,"https://i.kinja-img.com/gawker-media/image/upload/s--LwA7gK1v--/c_fill,fl_progressive,g_center,h_900,q_80,w_1600/biztenjdtnhvo3pzllvk.jpg",2019-05-11T04:25:00Z,"Facebook has filed a lawsuit against South Korean data analytics company Rankwave over a breach of contract after the company allegedly failed to prove that it was complying with Facebooks data policies.
The lawsuit was filed Friday in a California superior … [+1930 chars]"
,,,,,,,
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Ron Miller,Sisense acquires Periscope Data to build integrated data science and analytics solution,"Sisense announced today that it has acquired Periscope Data to create what it is calling, a complete data science and analytics platform for customers. The companies did not disclose the purchase price. The two company CEOs met about 18 months ago at a confer…",http://techcrunch.com/2019/05/14/sisense-acquires-periscope-data-to-build-integrated-data-science-and-analytics-solution/,https://techcrunch.com/wp-content/uploads/2019/05/GettyImages-606953865.jpg?w=562,2019-05-14T16:00:23Z,"Sisense announced today that it has acquired Periscope Data to create what it is calling, a complete data science and analytics platform for customers. The companies did not disclose the purchase price.
The two company CEOs met about 18 months ago at a confe… [+2802 chars]"
,,,,,,,
"{'id': None, 'name': 'Readwrite.com'}",Sawyer Bateman,Building a Predictive Analytics Model From Scratch,"There’s a lot of talk right now about the potential value AI can bring to businesses, and the logistics business – because of its complexity and how much e-commerce depends on it – is no exception. Imagine your e-commerce business needs to ship an order from …",https://readwrite.com/2019/05/01/building-a-predictive-analytics-model-from-scratch/,,2019-05-01T18:00:08Z,
,,,,,,,
"{'id': None, 'name': 'Slashdot.org'}",BeauHD,Facebook Sues Analytics Firm Rankwave Over Data Misuse,"Facebook revealed last Friday that it has filed a lawsuit alleging South Korean analytics firm Rankwave abused its developer platform's data, and has refused to cooperate with a mandatory compliance audit and request to delete the data. TechCrunch reports: Fa…",https://tech.slashdot.org/story/19/05/13/221251/facebook-sues-analytics-firm-rankwave-over-data-misuse,https://a.fsdn.com/sd/topics/facebook_64.png,2019-05-13T23:30:00Z,"Facebook's lawsuit centers around Rankwave offering to help businesses build a Facebook authorization step into their apps so they can pass all the user data to Rankwave, which then analyzes biographic and behavioral traits to supply user contact info and ad … [+1165 chars]"
,,,,,,,
"{'id': 'techcrunch', 'name': 'TechCrunch'}",Natasha Lomas,Adtech veteran Quantcast is latest tech giant to face GDPR privacy probe,"Another tech giant is under investigation in Europe for potential privacy breaches of the General Data Protection Regulation (GDPR), TechCrunch has learnt. The Irish Data Protection Commission (DPC), which is the lead data protection regulator for most multin…",http://techcrunch.com/2019/05/02/adtech-veteran-quantcast-is-latest-tech-giant-to-face-gdpr-privacy-probe/,https://techcrunch.com/wp-content/uploads/2018/01/eu-gdpr.jpg?w=600,2019-05-02T11:53:35Z,"Another tech giant is under investigation in Europe for potential privacy breaches of the General Data Protection Regulation (GDPR), TechCrunch has learnt.
The Irish Data Protection Commission (DPC), which is the lead data protection regulator for most multi… [+3361 chars]"
,,,,,,,
"{'id': None, 'name': 'Entrepreneur.com'}",William Harris,Ecommerce Analytics: 4 Metrics That Are Often Overlooked,Are you keeping track of customer lifetime value and customer acquisition cost? It's high time you did.,https://www.entrepreneur.com/article/333733,https://assets.entrepreneur.com/content/3x2/2000/20190520204625-GettyImages-952067306.jpeg,2019-05-21T16:00:00Z,"Opinions expressed by Entrepreneur contributors are their own.
In ecommerce, data is everything. When you’re new to ecommerce, your time is usually spent on binary decisions and tasks that help you get closer to launching your business: You decide what produ… [+6328 chars]"
,,,,,,,
"{'id': 'business-insider', 'name': 'Business Insider'}",Nicole Phillips,Insider Inc. is hiring a Director of Subscription Lifecycle Marketing,"Insider Inc. is hiring a Director of Subscription Lifecycle Marketing to lead our marketing initiatives to generate and retain subscribers. As Director, Subscription Lifecycle Marketing, you will lead a digital marketing team and be the driving force behind m…",https://www.businessinsider.com/insider-inc-is-hiring-a-director-of-subscription-lifecycle-marketing,https://amp.businessinsider.com/images/5cdb2059021b4c748d34c19c-2732-1366.jpg,2019-05-14T20:11:00Z,"Shutterstock/Syda Productions 
Insider Inc. is hiring a Director of Subscription Lifecycle Marketing to lead our marketing initiatives to generate and retain subscribers.
 As Director, Subscription Lifecycle Marketing, you will lead a digital marketing team… [+2810 chars]"
,,,,,,,
"{'id': None, 'name': 'Slashdot.org'}",msmash,"Google Launches CallJoy, a Virtual Customer Service Phone Agent For Small Businesses","Google is combining several technologies, including virtual phone numbers, audio transcriptions, automated reporting and analytics, in a new effort to help small business owners better manage their inbound phone calls. From a report: The company's latest proj…",https://tech.slashdot.org/story/19/05/04/0214218/google-launches-calljoy-a-virtual-customer-service-phone-agent-for-small-businesses,https://a.fsdn.com/sd/topics/topicgoogle_fb.gif,2019-05-04T02:30:00Z,"To err is human, to forgive, beyond the scope of the Operating System."
,,,,,,,
"{'id': None, 'name': 'Boingboing.net'}",Boing Boing's Shop,Start your data analytics career with this Excel boot camp,"Nearly everyone who has sat at a desk knows about Microsoft Excel. But if you're picturing a simple, boring spreadsheet in your head, that's only scratching the surface of its capabilities. Just for starters, Excel is an essential tool in the field of data an…",https://boingboing.net/2019/04/26/start-your-data-analytics-care.html,https://media.boingboing.net/wp-content/uploads/2019/04/product_21178_product_shots1_image.jpg,2019-04-26T12:00:40Z,"Nearly everyone who has sat at a desk knows about Microsoft Excel. But if you're picturing a simple, boring spreadsheet in your head, that's only scratching the surface of its capabilities. Just for starters, Excel is an essential tool in the field of data an… [+896 chars]"
,,,,,,,
